study  r1 r2   n1   n2 treat1 treat2  na            TE      seTE
    1  23  9  140  140   "IC"   "NI"   3    1.051293027 0.4132432
    1  10  9  138  140   "GC"   "NI"   3    0.128527575 0.4759803
    1  10 23  138  140   "GC"   "IC"   3   -0.922765452 0.3997972
    2  12 11   85   78   "IC"   "SH"   3    0.001244555 0.4504070
    2  29 11  170   78   "GC"   "SH"   3    0.225333286 0.3839393
    2  29 12  170   85   "GC"   "IC"   3    0.224088731 0.3722995
    3 363 75  714  731   "IC"   "NI"   2    2.202289286 0.1430439
    4   9  2  205  106   "IC"   "NI"   2    0.870353637 0.7910933
    5 237 58 1561  549   "IC"   "NI"   2    0.415648522 0.1557329
    6   9  0   48   33   "IC"   "NI"   2    2.779683746 1.4698402
    7  31  3   98  100   "IC"   "NI"   2    2.705393275 0.6251608
    8  26  1   95   31   "IC"   "NI"   2    2.425187415 1.0422512
    9  17  6   77   39   "IC"   "NI"   2    0.443616874 0.5219769
   10  77 79  694  702   "SH"   "NI"   2   -0.015964936 0.1699150
   11  21 18  535  671   "SH"   "NI"   2    0.393504544 0.3265754
   12 107 64  761  642   "IC"   "NI"   2    0.390412268 0.1680177
   13   8  5   90   62   "IC"   "NI"   2    0.106335650 0.5955997
   14  34 20  237  234   "IC"   "NI"   2    0.583398287 0.2983467
   15   9  0   20   20   "GC"   "NI"   2    3.522516830 1.4969970
   16  19  8  149  116   "SH"   "NI"   2    0.679594214 0.4411158
   17 143 95 1031 1107   "IC"   "NI"   2    0.539679846 0.1401199
   18  36 15  504  187   "IC"   "NI"   2   -0.125505082 0.3199924
   19  73 78  675  584   "IC"   "NI"   2   -0.239970162 0.1736564
   20  54 69  888 1177   "IC"   "NI"   2    0.038956007 0.1873842
   21  16 20   43   49   "IC"   "SH"   2   -0.151684587 0.4289753
   22  32  7  127   66   "GC"   "SH"   2    1.043486306 0.4489795
   23  20 12   74   76   "GC"   "IC"   2    0.680724661 0.4092394
   24   3  9   26   55   "GC"   "IC"   2   -0.405465108 0.7139060
                              
